subject,reviewer,score
0,craig,1.1254575631103125
0,dave,1.8327116926965032
1,craig,2.4515590560844203
1,erin,3.6008470166619797
2,craig,3.1588131856706108
2,eve,1.8327116926965032
3,dave,4.042880847653349
3,eve,3.6008470166619797
4,dave,2.6283725884809677
4,carol,2.7167793546792414
5,pat,3.6892537828602534
5,frank,3.7776605490585276
6,pat,3.1588131856706108
6,alice,3.424033484265432
7,erin,4.042880847653349
7,vanna,4.750134977239539
8,vanna,3.954474081455075
8,frank,3.1588131856706108
9,bob,3.424033484265432
9,carol,3.0704064194723366
10,bob,3.998677464554212
10,mallory,3.8660673152568013
11,bob,3.114609802571474
11,frank,3.6008470166619797
12,bob,3.6892537828602534
12,frank,3.512440250463706
13,bob,2.6283725884809677
13,pat,1.390677861705134
14,bob,3.6450503997611166
14,mallory,3.954474081455075
15,carol,3.0704064194723366
15,eve,2.981999653274063
16,carol,2.2747455236878724
16,vanna,3.335626718067158
17,carol,3.2472199518688845
17,bob,3.1588131856706108
18,carol,3.8660673152568013
18,vanna,3.7776605490585276
19,carol,1.0
19,bob,1.1254575631103125
20,carol,3.424033484265432
20,eve,3.1588131856706108
21,eve,3.335626718067158
21,frank,1.0
22,eve,3.424033484265432
22,peggy,3.424033484265432
23,eve,3.7776605490585276
23,frank,3.7776605490585276
24,eve,3.512440250463706
24,mallory,2.0979319912913246
25,eve,2.7167793546792414
25,peggy,2.893592887075789
26,trudy,1.0
26,mallory,1.0
27,trudy,1.0370507969120388
27,mallory,1.3022710955068602
28,trudy,1.0
28,mallory,1.921118458894777
29,trudy,2.0979319912913246
29,mallory,2.7167793546792414
30,peggy,3.7776605490585276
30,bob,3.2472199518688845
31,peggy,3.2472199518688845
31,trudy,3.0704064194723366
32,peggy,3.6008470166619797
32,erin,3.335626718067158
33,alice,2.7167793546792414
33,vanna,2.539965822282694
34,alice,2.805186120877515
34,eve,3.0704064194723366
35,alice,3.424033484265432
35,bob,3.6892537828602534
36,alice,3.335626718067158
36,trudy,2.805186120877515
37,alice,3.2472199518688845
37,eve,3.6008470166619797
38,victor,3.335626718067158
38,peggy,2.4515590560844203
39,victor,3.6008470166619797
39,alice,4.219694380049896
40,victor,3.6008470166619797
40,mallory,2.2747455236878724
41,victor,3.424033484265432
41,carol,2.1863387574895983
42,craig,1.6558981602999556
42,eve,1.7443049264982293
43,craig,3.6892537828602534
43,bob,3.2472199518688845
44,craig,3.0704064194723366
44,vanna,3.2472199518688845
45,craig,2.805186120877515
45,dave,2.539965822282694
46,craig,4.131287613851622
46,eve,4.131287613851622
47,craig,3.7776605490585276
47,bob,3.6008470166619797
48,craig,3.954474081455075
48,bob,3.424033484265432
49,craig,2.0979319912913246
49,vanna,2.981999653274063
50,craig,3.2472199518688845
50,dave,3.424033484265432
51,craig,2.7167793546792414
51,bob,2.981999653274063
52,craig,4.042880847653349
52,bob,3.6892537828602534
53,craig,3.512440250463706
53,vanna,3.7776605490585276
54,craig,2.2747455236878724
54,carol,2.1863387574895983
55,craig,1.2138643293085865
55,carol,1.3022710955068602
56,dave,2.363152289886146
56,peggy,1.0
57,dave,2.893592887075789
57,mallory,2.805186120877515
58,dave,3.1588131856706108
58,mallory,4.484914678644718
59,dave,3.7776605490585276
59,carol,3.424033484265432
60,dave,3.954474081455075
60,peggy,3.7776605490585276
61,dave,3.6008470166619797
61,vanna,3.335626718067158
62,dave,3.424033484265432
62,peggy,3.424033484265432
63,dave,3.6008470166619797
63,mallory,2.363152289886146
64,pat,4.131287613851622
64,craig,3.7776605490585276
65,erin,3.0704064194723366
65,carol,3.335626718067158
66,erin,4.308101146248171
66,carol,3.6008470166619797
67,erin,3.6892537828602534
67,mallory,4.131287613851622
68,vanna,3.424033484265432
68,mallory,3.954474081455075
69,vanna,4.573321444842992
69,bob,4.219694380049896
70,vanna,4.042880847653349
70,carol,3.6008470166619797
71,vanna,4.396507912446444
71,carol,4.396507912446444
72,vanna,2.4515590560844203
72,craig,3.424033484265432
73,bob,2.6283725884809677
73,mallory,2.009525225093051
74,bob,2.981999653274063
74,carol,2.981999653274063
75,bob,2.2747455236878724
75,trudy,1.479084627903408
76,bob,3.335626718067158
76,alice,3.335626718067158
77,carol,2.7167793546792414
77,bob,3.2472199518688845
78,carol,3.424033484265432
78,bob,3.8660673152568013
79,carol,2.981999653274063
79,eve,3.424033484265432
80,carol,1.921118458894777
80,bob,2.6283725884809677
81,carol,3.6008470166619797
81,trudy,3.424033484265432
82,eve,1.0
82,mallory,1.7443049264982293
83,trudy,4.219694380049896
83,mallory,4.131287613851622
84,trudy,1.6558981602999556
84,peggy,1.390677861705134
85,trudy,2.009525225093051
85,peggy,2.2747455236878724
86,mallory,1.8327116926965032
86,alice,1.7443049264982293
87,peggy,2.2747455236878724
87,vanna,2.539965822282694
88,peggy,2.981999653274063
88,trudy,2.4515590560844203
89,peggy,2.981999653274063
89,eve,2.7167793546792414
90,peggy,4.219694380049896
90,eve,4.396507912446444
91,peggy,3.7776605490585276
91,vanna,3.424033484265432
92,peggy,1.6558981602999556
92,bob,1.7443049264982293
93,peggy,4.042880847653349
93,trudy,3.6892537828602534
94,peggy,3.6008470166619797
94,erin,3.335626718067158
95,alice,2.981999653274063
95,trudy,3.2472199518688845
96,alice,2.0979319912913246
96,bob,2.6283725884809677
